second,Volt
+62.7508000E-06,-781.2500105E-06
+62.7510000E-06,+0.0E+00
+62.7512000E-06,+0.0E+00
+62.7514000E-06,+5.8E-12
+62.7516000E-06,+4.0527344397E-03
+62.7518000E-06,+7.0312501585E-03
+62.7520000E-06,+44.5312507107E-03
+62.7522000E-06,+77.3437510930E-03
+62.7524000E-06,+35.9375004866E-03
+62.7526000E-06,+1.9531249936E-03
+62.7528000E-06,-22.6562503613E-03
+62.7530000E-06,-39.0625005968E-03
+62.7532000E-06,-49.2187507131E-03
+62.7534000E-06,-35.1562505009E-03
+62.7536000E-06,-19.3359377714E-03
+62.7538000E-06,-7.8125000971E-03
+62.7540000E-06,+5.4687500906E-03
+62.7542000E-06,+11.7187501678E-03
+62.7544000E-06,+7.0312500975E-03
+62.7546000E-06,+2.0507812753E-03
+62.7548000E-06,-1.5625000290E-03
+62.7550000E-06,-5.4687500849E-03
+62.7552000E-06,-7.8125001130E-03
+62.7554000E-06,-5.4687500795E-03
+62.7556000E-06,-4.1503906853E-03
+62.7558000E-06,-3.1250000454E-03
+62.7560000E-06,-2.3437500338E-03
+62.7562000E-06,-1.5625000233E-03
+62.7564000E-06,-1.5625000233E-03
